season	episode_total	episode_season	ep_id	main_segment	air_date	viewers	period	ytid	youtube_link	aligned	checked	subs	ytdate	length	views	likes	comms	duration	syls	wrds
1	1	1	01_01	POM Wonderful LLC v. Coca-Cola Co.	April 27, 2014	1.11	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	2	2	01_02	Death Penalty	May 4, 2014	1.19	precovid	Kye2oX-b39E	https://www.youtube.com/watch?v=Kye2oX-b39E	NA	aligned	NA	2014-05-05	743	13496444	119000	8800	00:12:23	2705	1757
1	3	3	01_03	Climate change denial	May 11, 2014	1.01	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	4	4	01_04	Right to be forgotten	May 18, 2014	1.03	precovid	r-ERajkMXw0	https://www.youtube.com/watch?v=r-ERajkMXw0	NA	aligned	NA	2014-05-19	419	7623822	56668	1700	00:06:59	1543	1009
1	5	5	01_05	Net neutrality	June 1, 2014	0.99	precovid	fpbOEoRrHyU	https://www.youtube.com/watch?v=fpbOEoRrHyU	NA	aligned	NA	2014-06-02	798	16516426	189457	8300	00:13:18	3039	1930
1	6	6	01_06	FIFA	June 8, 2014	0.95	precovid	DlJEt2KU33I	https://www.youtube.com/watch?v=DlJEt2KU33I	NA	NA	NA	2014-06-09	793	21045808	166303	6600	00:13:13	3027	1966
1	7	7	01_07	Immigration reform in the United States	June 15, 2014	0.91	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	8	8	01_08	Dr. Oz and Nutritional Supplements	June 22, 2014	0.89	precovid	WA0wKeokWUU	https://www.youtube.com/watch?v=WA0wKeokWUU	NA	aligned	NA	2014-06-23	985	19073835	149210	8100	00:16:25	3648	2297
1	9	9	01_09	Hobby Lobby	June 29, 2014	0.85	precovid	zSQCH1qyIDo	https://www.youtube.com/watch?v=zSQCH1qyIDo	NA	NA	NA	2014-06-30	370	7338448	52939	2900	00:06:10	1570	976
1	10	10	01_10	Wealth Gap	July 13, 2014	0.84	precovid	LfgSEwjAeno	https://www.youtube.com/watch?v=LfgSEwjAeno	NA	aligned	NA	2014-07-14	850	17986281	116305	8600	00:14:10	3530	2304
1	11	11	01_11	Incarceration in the United States	July 20, 2014	0.92	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	12	12	01_12	Nuclear Weapons	July 27, 2014	1	precovid	1Y1ya-yF35g	https://www.youtube.com/watch?v=1Y1ya-yF35g	NA	NA	NA	2014-07-28	922	22200409	162278	10000	00:15:22	3555	2298
1	13	13	01_13	Native advertising	August 3, 2014	0.96	precovid	E_F5GxCwizc	https://www.youtube.com/watch?v=E_F5GxCwizc	NA	NA	NA	2014-08-04	683	12543299	96639	3300	00:11:23	2777	1727
1	14	14	01_14	Payday loans	August 10, 2014	0.94	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	15	15	01_15	Ferguson, MO, and Police Militarization	August 17, 2014	1.03	precovid	KUdHIatS36A	https://www.youtube.com/watch?v=KUdHIatS36A	NA	NA	NA	2014-08-18	910	13177297	112840	9300	00:15:10	3598	2254
1	16	16	01_16	Student debt	September 7, 2014	0.66	precovid	P8pjd1QEA0c	https://www.youtube.com/watch?v=P8pjd1QEA0c	NA	NA	NA	2014-09-08	976	14016901	109097	8000	00:16:16	3875	2554
1	17	17	01_17	Scottish Independence	September 14, 2014	0.7	precovid	-YkLPxQp_y0	https://www.youtube.com/watch?v=-YkLPxQp_y0	NA	aligned	NA	2014-09-15	918	19229550	142150	12000	00:15:18	3368	2214
1	18	18	01_18	Miss America 2015	September 21, 2014	0.83	precovid	oDPCmmZifE8	https://www.youtube.com/watch?v=oDPCmmZifE8	NA	NA	NA	2014-09-22	924	24009422	189277	10000	00:15:24	3504	2237
1	19	19	01_19	Drones	September 28, 2014	0.71	precovid	K4NRJoCNHIs	https://www.youtube.com/watch?v=K4NRJoCNHIs	NA	NA	NA	2014-09-29	776	14290338	100607	6600	00:12:56	3383	2090
1	20	20	01_20	Civil forfeiture in the United States	October 5, 2014	0.66	precovid	3kEpZWGgJks	https://www.youtube.com/watch?v=3kEpZWGgJks	NA	NA	NA	2014-10-06	989	15724405	125863	11000	00:16:29	3977	2605
1	21	21	01_21	Special Immigrant Visa	October 19, 2014	0.62	precovid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	22	22	01_22	Sugar	October 26, 2014	0.76	precovid	MepXBJjsNxs	https://www.youtube.com/watch?v=MepXBJjsNxs	NA	NA	NA	2014-10-27	694	18908303	130493	7600	00:11:34	2845	1807
1	23	23	01_23	2014 United States state legislative elections and ALEC	November 2, 2014	0.6	precovid	aIMgfBZrrZ8	https://www.youtube.com/watch?v=aIMgfBZrrZ8	NA	NA	NA	2014-11-03	1037	10715907	62983	3900	00:17:17	4305	2649
1	24	24	01_24	Lotteries	November 9, 2014	0.8	precovid	9PK-netuhHA	https://www.youtube.com/watch?v=9PK-netuhHA	NA	aligned	NA	2014-11-10	875	15899686	110644	5600	00:14:35	3756	2396
2	25	1	02_01	Marketing to Doctors	February 8, 2015	0.72	precovid	YQZ2UeOTO3I	https://www.youtube.com/watch?v=YQZ2UeOTO3I	NA	NA	NA	2015-02-09	1033	13263812	102181	5600	00:17:13	4308	2724
2	26	2	02_02	Tobacco	February 15, 2015	0.51	precovid	6UsHHOCH4q8	https://www.youtube.com/watch?v=6UsHHOCH4q8	NA	NA	NA	2015-02-16	1091	22445802	216680	13000	00:18:11	4273	2671
2	27	3	02_03	Elected Judges	February 22, 2015	0.47	precovid	poL7l-Uk3I8	https://www.youtube.com/watch?v=poL7l-Uk3I8	NA	NA	NA	2015-02-23	807	9274408	68326	3500	00:13:27	3447	2151
2	28	4	02_04	Infrastructure	March 1, 2015	0.71	precovid	Wpzvaqypav8	https://www.youtube.com/watch?v=Wpzvaqypav8	NA	NA	NA	2015-03-02	1273	15778320	125424	8500	00:21:13	4814	3051
2	29	5	02_05	US Territories	March 8, 2015	0.69	precovid	CesHr99ezWE	https://www.youtube.com/watch?v=CesHr99ezWE	NA	aligned	NA	2015-03-09	791	10793830	116091	7900	00:13:11	3147	1930
2	30	6	02_06	The NCAA	March 15, 2015	0.84	precovid	pX8BXH3SJn0	https://www.youtube.com/watch?v=pX8BXH3SJn0	NA	NA	NA	2015-03-16	1253	14872143	119121	8000	00:20:53	5198	3321
2	31	7	02_07	Municipal violations	March 22, 2015	0.78	precovid	0UjpmT5noto	https://www.youtube.com/watch?v=0UjpmT5noto	NA	NA	NA	2015-03-23	1075	11375374	95139	9200	00:17:55	4495	3006
2	32	8	02_08	Government surveillance	April 5, 2015	0.65	precovid	XEVlyP4_11M	https://www.youtube.com/watch?v=XEVlyP4_11M	NA	NA	NA	2015-04-06	1994	38206307	305154	17000	00:33:14	7802	5035
2	33	9	02_09	Internal Revenue Service	April 12, 2015	1.32	precovid	Nn_Zln_4pA8	https://www.youtube.com/watch?v=Nn_Zln_4pA8	NA	NA	NA	2015-04-13	1107	9438295	78048	5100	00:18:27	3723	2451
2	34	10	02_10	Patents	April 19, 2015	1.45	precovid	3bxcc3SM_KA	https://www.youtube.com/watch?v=3bxcc3SM_KA	NA	NA	NA	2015-04-20	663	9207912	85319	3000	00:11:03	2740	1754
2	35	11	02_11	Fashion	April 26, 2015	1.39	precovid	VdLf4fihP78	https://www.youtube.com/watch?v=VdLf4fihP78	NA	NA	NA	2015-04-27	1030	16977087	132568	7200	00:17:10	4105	2805
2	36	12	02_12	Standardized testing	May 3, 2015	1.4	precovid	J6lyURyVz7k	https://www.youtube.com/watch?v=J6lyURyVz7k	NA	NA	NA	2015-05-04	1081	16152594	139983	13000	00:18:01	4596	3060
2	37	13	02_13	Paid family leave	May 10, 2015	1.2	precovid	zIhKAQX5izw	https://www.youtube.com/watch?v=zIhKAQX5izw	NA	NA	NA	2015-05-11	741	9079328	84110	9100	00:12:21	3071	2125
2	38	14	02_14	Chicken	May 17, 2015	1.04	precovid	X9wHzt6gBgI	https://www.youtube.com/watch?v=X9wHzt6gBgI	NA	NA	NA	2015-05-18	1102	13203196	123002	8200	00:18:22	4681	3101
2	39	15	02_15	FIFA II	May 31, 2015	1.39	precovid	qr6ar3xJL_Q	https://www.youtube.com/watch?v=qr6ar3xJL_Q	NA	NA	NA	2015-06-01	792	10871162	112617	4600	00:13:12	3187	2034
2	40	16	02_16	Bail	June 7, 2015	1.26	precovid	IS5mwymTIJU	https://www.youtube.com/watch?v=IS5mwymTIJU	NA	NA	NA	2015-06-08	1070	11268435	97207	5700	00:17:50	3812	2550
2	41	17	02_17	Torture	June 14, 2015	1.26	precovid	zmeF2rzsZSU	https://www.youtube.com/watch?v=zmeF2rzsZSU	NA	NA	NA	2015-06-15	913	12103816	111702	6700	00:15:13	3546	2241
2	42	18	02_18	Online harassment	June 21, 2015	1.37	precovid	PuNIwYsz7PI	https://www.youtube.com/watch?v=PuNIwYsz7PI	NA	NA	NA	2015-06-22	1009	12679264	140380	30000	00:16:49	4341	2893
2	43	19	02_19	Transgender rights	June 28, 2015	1.24	precovid	hmoAX9f6MOc	https://www.youtube.com/watch?v=hmoAX9f6MOc	NA	NA	NA	2015-06-29	1007	11778581	167635	28000	00:16:47	3996	2507
2	44	20	02_20	Stadiums	July 12, 2015	1.01	precovid	xcwJt4bcnXs	https://www.youtube.com/watch?v=xcwJt4bcnXs	NA	NA	NA	2015-07-13	1148	15954240	133206	10000	00:19:08	4475	2983
2	45	21	02_21	Food waste	July 19, 2015	1.04	precovid	i8xwLWb0lLY	https://www.youtube.com/watch?v=i8xwLWb0lLY	NA	NA	NA	2015-07-20	1069	16069716	149832	9400	00:17:49	4582	3030
2	46	22	02_22	Mandatory minimums	July 26, 2015	0.94	precovid	pDVmldTurqk	https://www.youtube.com/watch?v=pDVmldTurqk	NA	NA	NA	2015-07-27	925	8346144	83545	4500	00:15:25	3774	2375
2	47	23	02_23	Washington DC statehood	August 2, 2015	0.98	precovid	4Z4j2CrJRn4	https://www.youtube.com/watch?v=4Z4j2CrJRn4	NA	NA	NA	2015-08-03	1023	10809447	113879	9600	00:17:03	4024	2669
2	48	24	02_24	Sex education	August 9, 2015	0.93	precovid	L0jQz6jqQS0	https://www.youtube.com/watch?v=L0jQz6jqQS0	NA	NA	NA	2015-08-10	1265	22091239	274819	22000	00:21:05	5204	3482
2	49	25	02_25	Televangelism	August 16, 2015	1.01	precovid	7y1xJAVZxXg	https://www.youtube.com/watch?v=7y1xJAVZxXg	NA	NA	NA	2015-08-17	1205	42048512	413933	46000	00:20:05	4814	3207
2	50	26	02_26	LGBT discrimination	August 23, 2015	1.03	precovid	5d667Bb_iYA	https://www.youtube.com/watch?v=5d667Bb_iYA	NA	NA	NA	2015-08-24	885	12849029	149481	20000	00:14:45	3863	2443
2	51	27	02_27	Public defenders	September 13, 2015	0.69	precovid	USkEzLuzmZ4	https://www.youtube.com/watch?v=USkEzLuzmZ4	NA	NA	NA	2015-09-14	899	10352309	85040	5600	00:14:59	3709	2383
2	52	28	02_28	Migrants and refugees	September 27, 2015	0.66	precovid	umqvYhb3wf4	https://www.youtube.com/watch?v=umqvYhb3wf4	NA	NA	NA	2015-09-28	1076	11800289	131363	24000	00:17:56	4433	2825
2	53	29	02_29	Mental health	October 4, 2015	0.68	precovid	NGY6DqB1HX8	https://www.youtube.com/watch?v=NGY6DqB1HX8	NA	NA	NA	2015-10-05	715	11497140	125156	7600	00:11:55	3187	2066
2	54	30	02_30	North Dakota	October 11, 2015	0.7	precovid	jYusNNldesc	https://www.youtube.com/watch?v=jYusNNldesc	NA	NA	NA	2015-10-12	1173	16304639	104684	6100	00:19:33	4920	3184
2	55	31	02_31	Canadian election	October 18, 2015	0.72	precovid	0V5ckcTSYu8	https://www.youtube.com/watch?v=0V5ckcTSYu8	NA	NA	NA	2015-10-19	921	14522211	126640	14000	00:15:21	3622	2260
2	56	32	02_32	Medicaid gap	November 1, 2015	0.69	precovid	5d3nASKtGas	https://www.youtube.com/watch?v=5d3nASKtGas	NA	NA	NA	2015-11-02	844	5250382	53928	4300	00:14:04	3666	2324
2	57	33	02_33	Prisoner re-entry	November 8, 2015	0.91	precovid	gJtYRxH5G2k	https://www.youtube.com/watch?v=gJtYRxH5G2k	NA	NA	NA	2015-11-09	1124	8951431	86434	5200	00:18:44	4978	3313
2	58	34	02_34	Daily fantasy sports	November 15, 2015	0.71	precovid	Mq785nJ0FXQ	https://www.youtube.com/watch?v=Mq785nJ0FXQ	NA	NA	NA	2015-11-16	1142	11847024	93467	5700	00:19:02	4814	3150
2	59	35	02_35	Pennies	November 22, 2015	0.78	precovid	_tyszHg96KI	https://www.youtube.com/watch?v=_tyszHg96KI	NA	NA	NA	2015-11-23	576	9914529	99066	7400	00:09:36	2392	1621
3	60	1	03_01	Voting	February 14, 2016	1.02	precovid	rHFOwlMCdto	https://www.youtube.com/watch?v=rHFOwlMCdto	NA	NA	NA	2016-02-15	848	10373893	116947	16000	00:14:08	3583	2261
3	61	2	03_02	Abortion laws	February 21, 2016	0.92	precovid	DRauXXz6t0Y	https://www.youtube.com/watch?v=DRauXXz6t0Y	NA	NA	NA	2016-02-22	961	11237798	158922	35000	00:16:01	4139	2753
3	62	3	03_03	Donald Trump	February 28, 2016	0.7	precovid	DnpO_RTSNmQ	https://www.youtube.com/watch?v=DnpO_RTSNmQ	NA	NA	NA	2016-02-29	1313	41554763	535195	54000	00:21:53	5563	3760
3	63	4	03_04	Special districts	March 6, 2016	0.82	precovid	3saU5racsGE	https://www.youtube.com/watch?v=3saU5racsGE	NA	NA	NA	2016-03-07	919	8351724	90120	4500	00:15:19	3993	2580
3	64	5	03_05	Encryption	March 13, 2016	0.96	precovid	zsjZ2r9Ygzw	https://www.youtube.com/watch?v=zsjZ2r9Ygzw	NA	NA	NA	2016-03-14	1080	14200371	151872	8200	00:18:00	4903	3109
3	65	6	03_06	Border wall	March 20, 2016	0.93	precovid	vU8dCYocuyI	https://www.youtube.com/watch?v=vU8dCYocuyI	NA	NA	NA	2016-03-21	1112	23493939	234599	23000	00:18:32	4575	3006
3	66	7	03_07	Congressional fundraising	April 3, 2016	0.95	precovid	Ylomy1Aw9Hk	https://www.youtube.com/watch?v=Ylomy1Aw9Hk	NA	NA	NA	2016-04-04	1285	10723425	89251	4600	00:21:25	5440	3668
3	67	8	03_08	Credit reports	April 10, 2016	0.91	precovid	aRrDsbUdY_k	https://www.youtube.com/watch?v=aRrDsbUdY_k	NA	NA	NA	2016-04-11	1126	12097955	108678	6000	00:18:46	4803	3077
3	68	9	03_09	Lead	April 17, 2016	0.85	precovid	GUizvEjR-0U	https://www.youtube.com/watch?v=GUizvEjR-0U	NA	NA	NA	2016-04-18	1113	11862679	132512	8000	00:18:33	4336	2952
3	69	10	03_10	Puerto Rico	April 24, 2016	1.34	precovid	Tt-mpuR_QHQ	https://www.youtube.com/watch?v=Tt-mpuR_QHQ	NA	NA	NA	2016-04-25	1282	14517359	174580	10000	00:21:22	5252	3417
3	70	11	03_11	Scientific studies	May 8, 2016	1.42	precovid	0Rnq1NpHdmw	https://www.youtube.com/watch?v=0Rnq1NpHdmw	NA	nosubs	NA	2016-05-09	1167	17972495	177084	12000	00:19:27	4914	3201
3	71	12	03_12	911	May 15, 2016	1.38	precovid	A-XlyB_QQYs	https://www.youtube.com/watch?v=A-XlyB_QQYs	NA	NA	NA	2016-05-16	957	11696490	121224	7300	00:15:57	4031	2752
3	72	13	03_13	Primaries and caucuses	May 22, 2016	1.27	precovid	_S2G8jhhUHg	https://www.youtube.com/watch?v=_S2G8jhhUHg	NA	aligned	NA	2016-05-23	867	7474517	86038	11000	00:14:27	3879	2366
3	73	14	03_14	Debt buyers	June 5, 2016	1.61	precovid	hxUAntt1z2c	https://www.youtube.com/watch?v=hxUAntt1z2c	NA	NA	NA	2016-06-06	1250	18219844	201684	14000	00:20:50	5025	3248
3	74	15	03_15	Retirement plans	June 12, 2016	1.21	precovid	gvZSpET11ZY	https://www.youtube.com/watch?v=gvZSpET11ZY	NA	NA	NA	2016-06-13	1289	19215328	167432	7500	00:21:29	5312	3535
3	75	16	03_16	Brexit	June 19, 2016	1.44	precovid	iAgKHSNqxa8	https://www.youtube.com/watch?v=iAgKHSNqxa8	NA	NA	NA	2016-06-20	939	17972227	187623	31000	00:15:39	3624	2319
3	76	17	03_17	Doping	June 26, 2016	1.53	precovid	BgyqAD5Z6_A	https://www.youtube.com/watch?v=BgyqAD5Z6_A	NA	NA	NA	2016-06-27	1233	14236930	113097	6000	00:20:33	5098	3302
3	77	18	03_18	Republican National Convention	July 24, 2016	1.09	precovid	zNdkrtfZP8I	https://www.youtube.com/watch?v=zNdkrtfZP8I	NA	NA	NA	2016-07-25	692	10237139	106125	12000	00:11:32	2933	1850
3	78	19	03_19	Democratic National Convention	July 31, 2016	1.27	precovid	BUCnjlTfXDw	https://www.youtube.com/watch?v=BUCnjlTfXDw	NA	NA	NA	2016-08-01	1090	11054520	100032	17000	00:18:10	3960	2547
3	79	20	03_20	Journalism	August 7, 2016	1.01	precovid	bq2_wSsDwkQ	https://www.youtube.com/watch?v=bq2_wSsDwkQ	NA	NA	NA	2016-08-08	1162	14945811	147049	9600	00:19:22	5184	3357
3	80	21	03_21	Auto lending	August 14, 2016	0.97	precovid	4U2eDJnwz_s	https://www.youtube.com/watch?v=4U2eDJnwz_s	NA	NA	NA	2016-08-15	1076	13752735	121204	10000	00:17:56	4603	3141
3	81	22	03_22	Charter schools	August 21, 2016	1.15	precovid	l_htSPGAY7I	https://www.youtube.com/watch?v=l_htSPGAY7I	NA	NA	NA	2016-08-22	1092	14348984	122992	10000	00:18:12	4762	3037
3	82	23	03_23	Scandals	September 25, 2016	0.88	precovid	h1Lfd1aB9YI	https://www.youtube.com/watch?v=h1Lfd1aB9YI	NA	NA	NA	2016-09-26	1275	18679592	179011	22000	00:21:15	5685	3523
3	83	24	03_24	Police accountability	October 2, 2016	1.1	precovid	zaD84DTGULo	https://www.youtube.com/watch?v=zaD84DTGULo	NA	NA	NA	2016-10-03	1194	16532773	192405	15000	00:19:54	5379	3343
3	84	25	03_25	Guantanamo	October 9, 2016	1.08	precovid	KEbFtMgGhPY	https://www.youtube.com/watch?v=KEbFtMgGhPY	NA	NA	NA	2016-10-10	1241	11131411	119115	7200	00:20:41	5471	3531
3	85	26	03_26	Third parties	October 16, 2016	1.34	precovid	k3O01EfM5fU	https://www.youtube.com/watch?v=k3O01EfM5fU	NA	NA	NA	2016-10-17	1119	13749744	135863	23000	00:18:39	4848	3122
3	86	27	03_27	Opioids	October 23, 2016	1.18	precovid	5pdPrQFjo2o	https://www.youtube.com/watch?v=5pdPrQFjo2o	NA	NA	NA	2016-10-24	1162	15614656	136378	12000	00:19:22	4971	3223
3	87	28	03_28	School segregation	October 30, 2016	1.03	precovid	o8yiYCHMAlM	https://www.youtube.com/watch?v=o8yiYCHMAlM	NA	NA	NA	2016-10-31	1078	11556974	129458	18000	00:17:58	4650	2986
3	88	29	03_29	Multilevel marketing	November 6, 2016	1.05	precovid	s6MwGeOm8iI	https://www.youtube.com/watch?v=s6MwGeOm8iI	NA	NA	NA	2016-11-07	1918	36003963	345032	28000	00:31:58	7797	4996
3	89	30	03_30	President-elect Trump	November 13, 2016	1.17	precovid	-rSDUsMwakI	https://www.youtube.com/watch?v=-rSDUsMwakI	NA	aligned	non-auto	2016-11-14	1741	20968550	244303	43000	00:29:01	7002	4679
4	90	1	04_01	Trump vs. Truth	February 12, 2017	1.19	precovid	xecEV4dSAXE	https://www.youtube.com/watch?v=xecEV4dSAXE	NA	NA	NA	2017-02-13	1430	39597251	418130	34000	00:23:50	5922	3896
4	91	2	04_02	Putin	February 19, 2017	1.25	precovid	0utzB6oDan0	https://www.youtube.com/watch?v=0utzB6oDan0	NA	NA	NA	2017-02-20	1206	20807766	234945	21000	00:20:06	4888	3248
4	92	3	04_03	Obamacare	February 26, 2017	0.72	precovid	YEGpriv2TAc	https://www.youtube.com/watch?v=YEGpriv2TAc	NA	NA	NA	2017-02-27	1132	11625880	149278	13000	00:18:52	4994	3218
4	93	4	04_04	Dalai Lama	March 5, 2017	1.28	precovid	bLY45o6rHm0	https://www.youtube.com/watch?v=bLY45o6rHm0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	94	5	04_05	American Health Care Act	March 12, 2017	1.12	precovid	Ifi9M7DRazI	https://www.youtube.com/watch?v=Ifi9M7DRazI	NA	NA	NA	2017-03-13	1110	10691589	133370	10000	00:18:30	4834	3142
4	95	6	04_06	Federal budget	March 19, 2017	1.03	precovid	ySTQk6updjQ	https://www.youtube.com/watch?v=ySTQk6updjQ	NA	NA	NA	2017-03-20	724	10477262	107709	7800	00:12:04	3323	2141
4	96	7	04_07	Marijuana	April 2, 2017	1.18	precovid	BcR_Wg42dv8	https://www.youtube.com/watch?v=BcR_Wg42dv8	NA	NA	NA	2017-04-03	1012	13457400	180328	12000	00:16:52	4591	2888
4	97	8	04_08	Gerrymandering	April 9, 2017	1.15	precovid	A-4dIImaodQ	https://www.youtube.com/watch?v=A-4dIImaodQ	NA	NA	NA	2017-04-10	1174	12032877	134938	9200	00:19:34	5206	3228
4	98	9	04_09	French elections	April 16, 2017	1.18	precovid	hkZir1L7fSY	https://www.youtube.com/watch?v=hkZir1L7fSY	NA	NA	NA	2017-04-17	1089	14347721	219211	22000	00:18:09	4253	2667
4	99	10	04_10	Ivanka & Jared	April 23, 2017	1.19	precovid	wD8AwgO0AQI	https://www.youtube.com/watch?v=wD8AwgO0AQI	NA	NA	NA	2017-04-24	1347	25788796	212495	12000	00:22:27	5925	3815
4	100	11	04_11	Net neutrality II	May 7, 2017	1.18	precovid	92vuuZt7wak	https://www.youtube.com/watch?v=92vuuZt7wak	NA	NA	NA	2017-05-08	1172	8722381	216809	11000	00:19:32	5070	3285
4	101	12	04_12	Dialysis	May 14, 2017	1.36	precovid	yw_nqzVfxFQ	https://www.youtube.com/watch?v=yw_nqzVfxFQ	NA	NA	NA	2017-05-15	1450	13397839	131085	8100	00:24:10	6260	4040
